config,task,precision,recall,f1,auc,threshold,tp,fp,fn,tn
JB Only,jailbreak,0.917,0.9354,0.9261,0.9488,0.27,1448,131,100,869
JB Only,multiturn,0.9308,0.7806,0.8491,0.8835,0.25000000000000006,121,9,34,91
JB Only,privacy,0.9434,0.2174,0.3534,0.6328,0.27,50,3,180,167
IG Only,jailbreak,0.9247,0.9276,0.9262,0.9488,0.16000000000000003,1436,117,112,883
IG Only,multiturn,1.0,0.0839,0.1548,0.6871,0.05,13,0,142,100
IG Only,privacy,0.0,0.0,0.0,0.5,0.5,0,0,230,170
Privacy Only,jailbreak,0.0,0.0,0.0,0.5,0.5,0,0,1548,1000
Privacy Only,multiturn,1.0,0.0452,0.0864,0.5226,0.05,7,0,148,100
Privacy Only,privacy,0.9392,0.7391,0.8273,0.8587,0.05,170,11,60,159
JB + IG,jailbreak,0.917,0.9354,0.9261,0.9488,0.27,1448,131,100,869
JB + IG,multiturn,0.9308,0.7806,0.8491,0.8812,0.25000000000000006,121,9,34,91
JB + IG,privacy,0.9434,0.2174,0.3534,0.6328,0.27,50,3,180,167
JB + Privacy,jailbreak,0.917,0.9354,0.9261,0.9488,0.27,1448,131,100,869
JB + Privacy,multiturn,0.9343,0.8258,0.8767,0.8985,0.25000000000000006,128,9,27,91
JB + Privacy,privacy,0.933,0.8478,0.8884,0.9203,0.27,195,14,35,156
Full System,jailbreak,0.917,0.9354,0.9261,0.9488,0.27,1448,131,100,869
Full System,multiturn,0.9343,0.8258,0.8767,0.8966,0.25000000000000006,128,9,27,91
Full System,privacy,0.933,0.8478,0.8884,0.9203,0.27,195,14,35,156
